,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
0,walk,walk,walk,walk,walk,walk,walk
1,-7.242224,-57.661987,32.026012,0.0,0.0,0.0,0.0
2,-7.242224,-57.661987,32.026012,0.09239502,-0.09451904,-0.087084964,0.0
3,-5.8033133,-46.070972,25.596739,0.09239502,-0.09451904,-0.087084964,0.0
4,-5.8033133,-46.070972,25.596739,0.07115479,-0.07965088,-0.015930176,0.0
5,-4.5973625,-36.830887,20.408154,0.07115479,-0.07965088,-0.015930176,0.0
6,-4.5973625,-36.830887,20.408154,0.021240234,-0.06265869,-0.023364259,0.0
7,-3.657382,-29.46471,16.304905,0.021240234,-0.06265869,-0.023364259,0.0
8,-3.657382,-29.46471,16.304905,-0.0031860352,-0.0541626,-0.012744141,0.0
9,-2.870266,-23.56403,13.03162,-0.0031860352,-0.0541626,-0.012744141,0.0
10,-2.870266,-23.56403,13.03162,-0.04141846,-0.04885254,-0.019116212,0.0
11,-2.2555509,-18.8605,10.489384,-0.04141846,-0.04885254,-0.019116212,0.0
12,-2.2555509,-18.8605,10.489384,-0.008496094,-0.025488282,0.021240234,0.0
13,-1.8502655,-15.073486,8.500919,-0.008496094,-0.025488282,0.021240234,0.0
14,-1.8502655,-15.073486,8.500919,0.020178223,0.0021240234,0.09664307,0.0
15,-1.5944948,-12.012257,6.8867226,0.020178223,0.0021240234,0.09664307,0.0
16,-1.5944948,-12.012257,6.8867226,-0.0031860352,-0.047790527,0.05522461,0.0
17,-1.3225079,-9.635635,5.5001984,-0.0031860352,-0.047790527,0.05522461,0.0
18,-1.3225079,-9.635635,5.5001984,0.026550293,-0.06584473,-0.0180542,0.0
19,-0.98264027,-7.774658,4.314636,0.026550293,-0.06584473,-0.0180542,0.0
20,-0.98264027,-7.774658,4.314636,0.045666505,-0.043542482,-0.058410645,0.0
21,-0.73428154,-6.1938324,3.368801,0.045666505,-0.043542482,-0.058410645,0.0
22,-0.73428154,-6.1938324,3.368801,-0.013806152,0.0063720704,-0.015930176,0.0
23,-0.65430737,-4.971817,2.6985817,-0.013806152,0.0063720704,-0.015930176,0.0
24,-0.65430737,-4.971817,2.6985817,0.02442627,-0.06796875,0.0053100586,0.0
25,-0.58241844,-4.0552826,2.2577171,0.02442627,-0.06796875,0.0053100586,0.0
26,-0.58241844,-4.0552826,2.2577171,0.0722168,-0.06796875,0.035046387,0.0
27,-0.44473076,-3.250183,1.8074303,0.0722168,-0.06796875,0.035046387,0.0
28,-0.44473076,-3.250183,1.8074303,0.078588866,-0.047790527,0.03717041,0.0
29,-0.2802353,-2.6148071,1.399826,0.078588866,-0.047790527,0.03717041,0.0
30,-0.2802353,-2.6148071,1.399826,0.09239502,-0.011682129,0.026550293,0.0
31,-0.17390728,-2.117302,1.0802116,0.09239502,-0.011682129,0.026550293,0.0
32,-0.17390728,-2.117302,1.0802116,0.11363526,0.0053100586,0.022302246,0.0
33,-0.1316185,-1.636261,0.87664413,0.11363526,0.0053100586,0.022302246,0.0
34,-0.1316185,-1.636261,0.87664413,0.012744141,0.011682129,0.013806152,0.0
35,-0.15452576,-1.2333145,0.7557602,0.012744141,0.011682129,0.013806152,0.0
36,-0.15452576,-1.2333145,0.7557602,0.0,-0.013806152,-0.019116212,0.0
37,-0.19185829,-0.9927826,0.6480789,0.0,-0.013806152,-0.019116212,0.0
38,-0.19185829,-0.9927826,0.6480789,0.04460449,-0.06690674,0.0010620117,0.0
39,-0.13556671,-0.828331,0.48918152,0.04460449,-0.06690674,0.0010620117,0.0
40,-0.13556671,-0.828331,0.48918152,0.046728518,-0.06796875,-0.011682129,0.0
41,-0.0039129257,-0.7038498,0.29891205,0.046728518,-0.06796875,-0.011682129,0.0
42,-0.0039129257,-0.7038498,0.29891205,0.0361084,0.0021240234,-0.004248047,0.0
43,0.030743599,-0.56876373,0.20085907,0.0361084,0.0021240234,-0.004248047,0.0
44,0.030743599,-0.56876373,0.20085907,0.0031860352,0.045666505,-0.03717041,0.0
